,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
1946,Center for Nanobiology and Predictive Toxicology,NIEHS,8668954,5U19ES019528-05,5,U19,ES,19528,5,,,1886419,"NEL, ANDRE ELIAS",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2014,1029385,Home Sensor Date Fusion to Support Aging in Place
1947,Using connectomics to characterize risk for Alzheimer's Disease,NIA,9731362,5R01AG055132-03,5,R01,AG,55132,3,,,1911365,"JOSEPH, JANE E ","MINTZER, JACOBO E.",MEDICAL UNIVERSITY OF SOUTH CAROLINA,,2019,745812,
1948,Development of a tracheal sound sensor for early detection of hypoventilation due to opioid overdose.,NIDA,9680488,1R41DA047779-01,1,R41,DA,47779,1,,,8444801,"JOSEPH, JEFFREY I",Not Applicable,"RTM VITAL SIGNS, LLC",,2019,236381,
1949,Malarial Retinopathy Screening System for Improved Diagnosis of Cerebral Malaria,NIAID,9839485,5R44AI112164-07,5,R44,AI,112164,7,,,11772834,"JOSHI, VINAYAK S ","HARDING, SIMON ;LEWALLEN, SUSAN ",VISIONQUEST BIOMEDICAL INC,,2020,1000000,
1950,Malarial Retinopathy Screening System for Improved Diagnosis of Cerebral Malaria,NIAID,10002542,6R44AI112164-06,6,R44,AI,112164,6,,,11772834,"JOSHI, VINAYAK S ","HARDING, SIMON ;LEWALLEN, SUSAN ",VISIONQUEST BIOMEDICAL INC,,2019,412048,
1951,Center for Nanobiology and Predictive Toxicology,NIEHS,8147701,5U19ES019528-02,5,U19,ES,19528,2,,,1886419,"NEL, ANDRE ELIAS",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2011,1090598,Malarial Retinopathy Screening System for Improved Diagnosis of Cerebral Malaria
1952,Center for Nanobiology and Predictive Toxicology,NIEHS,8146748,3U19ES019528-01S1,3,U19,ES,19528,1,S1,,1886419,"NEL, ANDRE ELIAS",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2010,27441,A Run-to-Run Algorithm for Glucose Regulation
1953,Center for Nanobiology and Predictive Toxicology,NIEHS,8016739,1U19ES019528-01,1,U19,ES,19528,1,,,1886419,"NEL, ANDRE ELIAS",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2010,1144284,A Run-to-Run Algorithm for Glucose Regulation
1954,Application of advanced methodology to osteoarthritis phenotyping,NIAMS,9889390,1R21AR074685-01A1,1,R21,AR,74685,1,A1,,8765095,"NELSON, AMANDA E",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL,,2020,200007,Sleep and Electroencephalography Biomarkers of Alzheimer's Disease
1955,Identification and characterization of children with asthma-associated comorbidities through computational and immune phenotyping,NHLBI,9659471,2R01HL126667-04A1,2,R01,HL,126667,4,A1,,6978650,"JUHN, YOUNG J ",Assessment of ultrasound features of knee osteoarthritis in a population-based community cohort,,NIAMS,9944803,1R01AR077060-01,1
1956,Development and Preliminary Testing of Novel Virtual Human-Assisted Psychosocial Interviews for Patients with Chronic Musculoskeletal Pain,NIAMS,9776205,5R21AR074020-02,5,R21,AR,74020,2,,,8898338,"JUNGHAENEL, DOERTE ULRIKE ","LUMLEY, MARK A",UNIVERSITY OF SOUTHERN CALIFORNIA,,2019,174528,
1957,The Development and Neural Bases of Emotion Processing,NIMH,9033949,4R01MH078829-19,4,R01,MH,78829,19,,,1862029,"NELSON, CHARLES ALEXANDER",Not Applicable,BOSTON CHILDREN'S HOSPITAL,,2016,871361,Development and Preliminary Testing of Novel Virtual Human-Assisted Psychosocial Interviews for Patients with Chronic Musculoskeletal Pain
1958,The Development and neural Bases of Emotion Processing,NIMH,8937324,3R01MH078829-18S1,3,R01,MH,78829,18,S1,,1862029,"NELSON, CHARLES ALEXANDER",Not Applicable,BOSTON CHILDREN'S HOSPITAL,,2015,112804,Innovations in cervical cancer diagnosis for low resource settings using advanced optical imaging and machine learning diagnostic algorithms.
1959,Combinatorial Biomarkers for Malignant Polyps and Colon Cancer Detection,NCI,9681054,1R43CA235984-01,1,R43,CA,235984,1,,,8735624,"JUNKER, WADE M ","KAUR, SUKHWINDER ",SANGUINE DIAGNOSTICS AND THERAPEUTICS,,2019,225000,
1960,Information Integration of Heterogeneous Data Sources,NCRR,6881960,1R43RR018667-01A2,1,R43,RR,18667,1,A2,,7771611,"KABUKA, MANSUR R.",Not Applicable,"INFOTECH SOFT, INC.",,2005,260661,
1961,768504,Delineating neurobiological heterogeneity in internalizing symptoms using machine learning and deep phenotyping,NIMH,9985283,4R00MH117274-03,4,R00,MH,117274,3,,,10308192,"KACZKURKIN, ANTONIA ",Not Applicable,VANDERBILT UNIVERSITY,,2019,249000
1962,The Development and Neural Bases of Emotion Processing,NIMH,8435408,5R01MH078829-16,5,R01,MH,78829,16,,,1862029,"NELSON, CHARLES ALEXANDER",Not Applicable,BOSTON CHILDREN'S HOSPITAL,,2013,Delineating neurobiological heterogeneity in internalizing symptoms using machine learning and deep phenotyping,NIMH
1963,QUANTITATIVE GAIT ANALYSIS,NIADDK,3153483,1R01AM034886-01,1,R01,AM,34886,1,,,2450737,"KADABA, MURALI ",Not Applicable,NEW YORK STATE DEPT OF HEALTH,,1985,68841,
1964,The Development and Neural Bases of Emotion Processing,NIMH,8291570,2R01MH078829-15A1,2,R01,MH,78829,15,A1,,1862029,"NELSON, CHARLES ALEXANDER",Not Applicable,BOSTON CHILDREN'S HOSPITAL,,2012,781847,QUANTITATIVE GAIT ANALYSIS
1965,64382,,,,,,,,,,,,,,,,,,
1966,,1865582,,,,,,,,,,,,,,,,,
1967,Project 1 - Changes in Gut Microbiome and related Metabolome Across Trajectory of Alzheimer's Disease,NIA,9795003,1U19AG063744-01,1,U19,AG,63744,1,,5742,8256949,"KADDURAH-DAOUK, RIMA F",Not Applicable,DUKE UNIVERSITY,,2019,,595839
1968,Deep Learning and Streaming Analytics for Prediction of Adverse Events in the ICU,NIEHS,9322197,5K01ES025445-03,5,K01,ES,25445,3,,,10986837,"NEMATI, SHAMIM ",Not Applicable,EMORY UNIVERSITY,,2017,190216,Predicting Suicide Attempts in Youth with Child Protective Services Contact
1969,NLM,2237617,5R01LM004174-08,5,R01,LM,4174,8,,,1942259,"KALET, IRA J",Not Applicable,UNIVERSITY OF WASHINGTON,,1994,191252,,
1970,A CANCER RADIOTHERAPY EXPERT SYSTEM USING SIMULATION,NLM,3373571,2R01LM004174-07,2,R01,LM,4174,7,,,1942259,"KALET, IRA J",Not Applicable,UNIVERSITY OF WASHINGTON,,1993,191863,
1971,Deep Learning and Streaming Analytics for Prediction of Adverse Events in the ICU,NIEHS,9044236,1K01ES025445-01A1,1,K01,ES,25445,1,A1,NINDS,EMORY UNIVERSITY,,10078697,3U44NS108894-02S1,3,U44,NS,108894
1972,User-driven Retrospectively Supervised Classification Updating (RESCU) system for robust upper limb prosthesis control,NINDS,10013405,4U44NS108894-02,4,U44,NS,108894,2,,,10468837,"KALIKI, RAHUL REDDY",Not Applicable,"INFINITE BIOMEDICAL TECHNOLOGIES, LLC",,2019,735600,
1973,Air pollution exposures and children's health:  mediation and interaction in a counterfactual framework,NIEHS,9894798,5R00ES027511-04,5,R00,ES,27511,4,,,14352570,"NEOPHYTOU, ANDREAS ",Not Applicable,COLORADO STATE UNIVERSITY,,2020,249000,User-driven Retrospectively Supervised Classification Updating (RESCU) systemfor robust upper limb prosthesis control
1974,Air pollution exposures and children's health:  mediation and interaction in a counterfactual framework,NIEHS,9884859,4R00ES027511-03,4,R00,ES,27511,3,,,14352570,"NEOPHYTOU, ANDREAS ",Not Applicable,User-driven Retrospectively Supervised Classification Updating (RESCU) system for robust upper limb prosthesis control,NINDS,9622537,1U44NS108894-01,1
1975,An Individualized Vocabulary Intervention for Dual Language Learners,NICHD,9771334,5R21HD092837-02,5,R21,HD,92837,2,,,12006688,"KAN, PUI FONG  ","COLUNGA, ELIANA ",UNIVERSITY OF COLORADO,,2019,186473,
1976,DIGITAL VIEWING STATIONS FOR DIAGNOSTIC IMAGES,NCI,3177785,5R01CA039063-07,5,R01,CA,39063,7,,,1881272,"KANGARLOO, HOOSHANG ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,1991,272876,
1977,DIGITAL VIEWING STATIONS FOR DIAGNOSTIC IMAGES,NCI,3177784,5R01CA039063-06,5,R01,CA,39063,6,,,1881272,"KANGARLOO, HOOSHANG ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,1990,262251,
1978,270056,,,,,,,,,,,,,,,,,,
1979,DIGITAL VIEWING STATIONS FOR DIAGNOSTIC IMAGES,NCI,3177782,5R01CA039063-04,5,R01,CA,39063,4,,,1881272,"KANGARLOO, HOOSHANG ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,1988,295091,
1980,DIGITAL VIEWING STATIONS FOR DIAGNOSTIC IMAGES,NCI,3177779,2R01CA039063-03A1,2,R01,CA,39063,3,A1,,1881272,"KANGARLOO, HOOSHANG ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,1987,239709,
1981,,"396106""REPORTING SYSTEM TO IMPROVE SAFETY OF THE BLOOD SUPPLY""",NHLBI,2029311,5R01HL053772-03,5,R01,HL,53772,3,,,1858896,"KAPLAN, HAROLD S",Not Applicable,UNIVERSITY OF TEXAS SW MED CTR/DALLAS,,1997,421531
1982,REPORTING SYSTEM TO IMPROVE SAFETY OF THE BLOOD SUPPLY,NHLBI,2231869,1R01HL053772-01,1,R01,HL,53772,1,,,1858896,"KAPLAN, HAROLD S",Not Applicable,UNIVERSITY OF TEXAS SW MED CTR/DALLAS,,1995,300451,
1983,,"433347""Neurophysiological mechanisms of cognitive and emotional control in ADHD""",NIMH,9743874,5K23MH108656-04,5,K23,MH,108656,4,,,9568744,"KARALUNAS, SARAH LYN",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY,,2019,191050
1984,A Quality Control Program for Quantitative MRI Data  Acquisition and Analysis in Multi-site Clinical Trials,NCI,10007270,4R44CA235820-02,4,R44,CA,235820,2,,,15663634,"KARAULANOV, TODOR ",Not Applicable,Predicting Drug Resistance in Cancer Genomes by DMA Methylation Profiling,NCI,7287750,5U54CA113001-03,5
1985,A Quality Control Program for Quantitative MRI Data  Acquisition and Analysis in Multi-site Clinical Trials,NCI,9678297,1R44CA235820-01,1,R44,CA,235820,1,,,15663634,"KARAULANOV, TODOR ",Not Applicable,"QALIBREMD, INC.",,2018,224422,
1986,Predicting Drug Resistance in Cancer Genomes by DMA Methylation Profiling,NCI,7123768,5U54CA113001-02,5,U54,CA,113001,2,,4,1866131,"NEPHEW, KENNETH P",Not Applicable,OHIO STATE UNIVERSITY,,2005,,"268329""Advanced Imaging"""
1987,Advanced Imaging,NCI,9904517,5P30CA014599-45,5,P30,CA,14599,45,,8422,2423744,"KARCZMAR, GREGORY S",Not Applicable,UNIVERSITY OF CHICAGO,,2020,Predicting Drug Resistance in Cancer Genomes by DMA Methylation Profiling,NCI
1988,,53569,,,,,,,,,,,,,,,,,
1989,119416,Advanced Imaging,NCI,9756924,3P30CA014599-43S2,3,P30,CA,14599,43,S2,8422,2423744,"KARCZMAR, GREGORY S",Not Applicable,UNIVERSITY OF CHICAGO,,2018,
1990,Computational Biology of Transcriptional Networks in Aging,NIA,7895558,5K25AG028753-04,5,K25,AG,28753,4,,,7695692,"NERETTI, NICOLA ",Not Applicable,BROWN UNIVERSITY,,2010,116662,Advanced Imaging
1991,Advanced Imaging,NCI,9489803,2P30CA014599-43,2,P30,CA,14599,43,,8422,2423744,"KARCZMAR, GREGORY S",Not Applicable,UNIVERSITY OF CHICAGO,,2018,Computational Biology of Transcriptional Networks in Aging,
1992,Center for the Prevention and Treatment of Visual Loss,VA,9623992,1I50RX003002-01,1,I50,VA,3002,1,,,2452051,"KARDON, RANDY H. ","KUEHN, MARKUS H.",IOWA CITY VA MEDICAL CENTER,,2019,,
1993,Computational Biology of Transcriptional Networks in Aging,NIA,7652367,5K25AG028753-03,5,K25,AG,28753,3,,,7695692,"NERETTI, NICOLA ",Not Applicable,BROWN UNIVERSITY,,2009,124786,NEW WORD BASED METHODS FOR DNA SEQUENCE ASSEMBLY
1994,Great Lakes Node of the Drug Abuse Clinical Trials Network,NIDA,10173503,3UG1DA049467-02S1,3,UG1,DA,49467,2,S1,,8626029,"KARNIK, NIRANJAN  ","GUSTAFSON, DAVID H",RUSH UNIVERSITY MEDICAL CENTER,,2020,Computational Biology of Transcriptional Networks in Aging,NIA
1995,Great Lakes Node of the Drug Abuse Clinical Trials Network,NIDA,9956715,5UG1DA049467-02,5,UG1,DA,49467,2,,,8626029,"KARNIK, NIRANJAN ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER,,2020,Computational Biology of Transcriptional Networks in Aging,NIA
1996,Great Lakes Node of the Drug Abuse Clinical Trials Network,NIDA,9839124,1UG1DA049467-01,1,UG1,DA,49467,1,,,8626029,"KARNIK, NIRANJAN ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER,,2019,444441,
1997,Neural Signature of Fear Overgeneralization in Trauma Exposed Adults,NIMH,9492704,5R01MH105355-04,5,R01,MH,105355,4,,,8615318,"NERIA, YUVAL Y",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2018,423903,BIOLOGICAL KNOWLEDGE-BASE MANAGEMENT SYSTEM
1998,BIOLOGICAL KNOWLEDGE-BASE MANAGEMENT SYSTEM,NLM,2237800,5R29LM005413-03,5,R29,LM,5413,3,,,1882436,"KARP, PETER D",Not Applicable,SRI INTERNATIONAL,,1995,136815,
1999,Neural Signature of Fear Overgeneralization in Trauma Exposed Adults,NIMH,9281088,5R01MH105355-03,5,R01,MH,105355,3,,,8615318,"NERIA, YUVAL Y",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2017,435678,BIOLOGICAL KNOWLEDGE-BASE MANAGEMENT SYSTEM
2000,BIOLOGICAL KNOWLEDGE-BASED MANAGEMENT SYSTEM,NLM,3474540,1R29LM005413-01A1,1,R29,LM,5413,1,A1,,1882436,"KARP, PETER D",Not Applicable,SRI INTERNATIONAL,,1993,147999,
2001,Classification Algorithms for Chemical Compounds,NLM,7127208,5R01LM008713-02,5,R01,LM,8713,2,,,7949128,"KARYPIS, GEORGE ",Not Applicable,UNIVERSITY OF MINNESOTA TWIN CITIES,,2006,276362,
2002,Neural Signature of Fear Overgeneralization in Trauma Exposed Adults,NIMH,8960792,1R01MH105355-01A1,1,R01,MH,105355,1,A1,,8615318,"NERIA, YUVAL Y",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE,,2015,437426,Classification Algorithms for Chemical Compounds
2003,INTERDISCIPLINARY TRAINING IN COMPUTATIONAL NEUROSCIENCE,NIDA,9763517,5T90DA022762-14,5,T90,DA,22762,14,,,1979505,"KASS, ROBERT E ","DOIRON, BRENT D.",CARNEGIE-MELLON UNIVERSITY,,2019,ISPW8 Conference: Designing the next generation of closed loop seizure control,NINDS
2004,INTERDISCIPLINARY TRAINING IN COMPUTATIONAL NEUROSCIENCE,NIDA,9763514,5R90DA023426-14,5,R90,DA,23426,14,,,1979505,"KASS, ROBERT E ","DOIRON, BRENT D.",CARNEGIE-MELLON UNIVERSITY,,2019,305372,
2005,Real-time video monitoring of falls in memory-care facilities for individuals with Alzheimer's and related dementias,NIA,9465622,1R43AG058354-01,1,R43,AG,58354,1,,,14987213,"NETSCHER, GEORGE  ","BAYEN, ALEXANDRE ;XIONG, GLEN ","SAFELYYOU, INC.",,2017,150000,Emergence of Functional Network Dynamics from Single Cell Properties
2006,A Comprehensive Fall Prevention System for Memory Care: Final Feasibility and Randomized Controlled Study,NIA,10008400,4R44AG062088-02,4,R44,AG,62088,2,,,14987213,"NETSCHER, GEORGE ",Not Applicable,"SAFELYYOU, INC.",,2019,536666,COMPUTERIZED MEDICAL RECORDS SYSTEM
2007,A Comprehensive Fall Prevention System for Memory Care: Final Feasibility and Randomized Controlled Study,NIA,9683937,1R44AG062088-01,1,R44,AG,62088,1,,,14987213,"NETSCHER, GEORGE ",Not Applicable,"SAFELYYOU, INC.",,2018,484916,ULTRASONIC ASSESSMENT OF BONE USING NEURAL NETWORKS
2008,Development of an automated method to capture bladder cancer recurrence and progression for epidemiologic research,NCI,9668002,1R21CA227606-01A1,1,R21,CA,227606,1,A1,,9845758,"KAWATKAR, ANIKET A ","DANFORTH, KIM N",KAISER FOUNDATION RESEARCH INSTITUTE,,2019,Neural Encoding of Social Information,
2009,NLM Scrubber: NLM's Software Application to De-identify Clinical Text Documents,NLM,10016024,1ZIALM010002-10,1,ZIA,LM,10002,10,,,10687428,"KAYAALP, MEHMET ",Not Applicable,NATIONAL LIBRARY OF MEDICINE,,2019,918126,
2010,NLM Scrubber: NLM's Software Application to De-identify Clinical Text Documents,NLM,9787041,1ZIALM010002-09,1,ZIA,LM,10002,9,,,10687428,"KAYAALP, MEHMET ",Not Applicable,NATIONAL LIBRARY OF MEDICINE,,2018,830057,
2011,Community Deposit and Review of Biochemical Databases,NIGMS,9471944,7107923,2R01HD037082-15A1,5R01GM056529-09,2,R01,HD,37082,15,A1,5,R01,GM,56529,9,,
2012,Community Deposit and Review of Biochemical Databases,NIGMS,6944266,5R01GM056529-08,5,R01,GM,56529,8,,,1892983,"KAZIC, TONI ",Not Applicable,UNIVERSITY OF MISSOURI-COLUMBIA,,2005,523667,
2013,Community Deposit and Review of Biochemical Databases,NIGMS,6784554,5R01GM056529-07,5,R01,GM,56529,7,,,1892983,"KAZIC, TONI ",Not Applicable,UNIVERSITY OF MISSOURI-COLUMBIA,,2004,522252,
2014,Community Deposit and Review of Biochemical Databases,NIGMS,6694513,2R01GM056529-06,2,R01,GM,56529,6,,,1892983,"KAZIC, TONI ",Not Applicable,UNIVERSITY OF MISSOURI-COLUMBIA,,2003,556670,
2015,Macrophage Phenotype Transition as the Biological Mechanism of Chronic Wound Healing Treated with Non-Thermal; Non-Cavitational Therapeutic Ultrasound,NIAMS,9833129,1F31AR074847-01A1,1,F31,AR,74847,1,A1,,14630866,"NGO, OLIVIA ",Not Applicable,COMMUNITY DEPOSIT AND REVIEW OF BIOCHEMICAL DATABASES,NIGMS,6495949,7R01GM056529-05,7
2016,COMMUNITY DEPOSIT AND REVIEW OF BIOCHEMICAL DATABASES,NIGMS,6181086,5R01GM056529-04,5,R01,GM,56529,4,,,1892983,"KAZIC, TONI ",Not Applicable,WASHINGTON UNIVERSITY,,2000,44870,
2017,COMMUNITY DEPOSIT AND REVIEW OF BIOCHEMICAL DATABASES,NIGMS,6019369,5R01GM056529-03,5,R01,GM,56529,3,,,1892983,"KAZIC, TONI ",Not Applicable,WASHINGTON UNIVERSITY,,1999,318834,
2018,COMMUNITY DEPOSIT AND REVIEW OF BIOCHEMICAL DATABASES,NIGMS,2771106,5R01GM056529-02,5,R01,GM,56529,2,,,1892983,"KAZIC, TONI ",Not Applicable,WASHINGTON UNIVERSITY,,1998,318557,
2019,COMMUNITY DEPOSIT AND REVIEW OF BIOCHEMICAL DATABASES,NIGMS,2418025,1R01GM056529-01,1,R01,GM,56529,1,,,1892983,"KAZIC, TONI ",Not Applicable,WASHINGTON UNIVERSITY,,1997,279257,
2020,HashtagHealth: A Social Media Big Data Resource for Neighborhood Effects Research,NIEHS,9239538,3K01ES025433-03S1,3,K01,ES,25433,3,S1,,12078572,"NGUYEN, QUYNH ",Not Applicable,UNIVERSITY OF UTAH,,2016,SUPPORT FOR PHYSIOLOGY AND BIOPHYSICS COMPUTER,NCRR
2021,SUPPORT FOR PHYSIOLOGY AND BIOPHYSICS COMPUTER,NCRR,3103636,5P41RR000374-20,5,P41,RR,374,20,,,3727649,"KEHL, THEODORE H",Not Applicable,UNIVERSITY OF WASHINGTON,,1986,344786,
2022,SUPPORT FOR PHYSIOLOGY AND BIOPHYSICS COMPUTER,NCRR,3103634,2P41RR000374-19,2,P41,RR,374,19,,,3727649,"KEHL, THEODORE H",Not Applicable,UNIVERSITY OF WASHINGTON,,1985,458732,
2023,HashtagHealth: A Social Media Big Data Resource for Neighborhood Effects Research,NIEHS,8935814,5K01ES025433-02,5,K01,ES,25433,2,,,12078572,"NGUYEN, QUYNH ",Not Applicable,UNIVERSITY OF UTAH,,2015,155674,Development of a Centralized Intelligence and Control AP Hub Device
2024,HashtagHealth: A Social Media Big Data Resource for Neighborhood Effects Research,NIEHS,8828979,1K01ES025433-01,1,K01,ES,25433,1,,,12078572,"NGUYEN, QUYNH ",Not Applicable,UNIVERSITY OF UTAH,,2014,155674,Intelligent Microtome Instrumentation
2025,BIONET--NATIONAL COMPUTER RESOURCE FOR MOLECULAR BIOLOGY,NCRR,3560649,3U41RR001685-06S1,3,U41,RR,1685,6,S1,,3811128,"KELLY, MICHAEL J",Not Applicable,"INTELLIGENETICS, INC.",,1989,731950,
2026,BIONET; NATIONAL COMPUTER RESOURCE FOR MOLECULAR BIOLOGY,NCRR,3560653,5U41RR001685-06,5,U41,RR,1685,6,,,3811128,"KELLY, MICHAEL J",Not Applicable,"INTELLIGENETICS, INC.",,1988,1537054,
2027,9694279,5R01LM012535-03,5,R01,LM,12535,3,,,10941211,"NHO, KWANGSIK TIMOTHY ","KIM, DOKYOON ;KIM, SUNGEUN ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,,2019,341691,BIONET; NATIONAL COMPUTER RESOURCE FOR MOLECULAR BIOLOGY,NCRR,3560652
2028,DYNAMIC PATTERNS IN COMPLEX BIOLOGICAL SYSTEMS,NIMH,3382280,5R01MH042900-05,5,R01,MH,42900,5,,,1862805,"KELSO, J A SCOTT ",Not Applicable,FLORIDA ATLANTIC UNIVERSITY,,1991,Integrating Neuroimaging; Multi-omics; and Clinical Data in Complex Disease,NLM
2029,DYNAMIC PATTERNS IN COMPLEX BIOLOGICAL SYSTEMS,NIMH,3382279,5R01MH042900-04,5,R01,MH,42900,4,,,1862805,"KELSO, J A SCOTT ",Not Applicable,FLORIDA ATLANTIC UNIVERSITY,,1990,210539,
2030,Integrating Neuroimaging; Multi-omics; and Clinical Data in Complex Disease,NLM,9287487,1R01LM012535-01,1,R01,LM,12535,1,,,10941211,"NHO, KWANGSIK TIMOTHY ","KIM, DOKYOON ;KIM, SUNGEUN ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,,2017,367055,DYNAMIC PATTERNS IN COMPLEX BIOLOGICAL SYSTEMS
2031,199415,,,,,,,,,,,,,,,,,,
2032,DYNAMIC PATTERNS IN COMPLEX BIOLOGICAL SYSTEMS,NIMH,3382276,1R01MH042900-01,1,R01,MH,42900,1,,,1862805,"KELSO, J A SCOTT ",Not Applicable,FLORIDA ATLANTIC UNIVERSITY,,1987,238540,
2033,An Academic-Industry Partnership to Advance Functional Genomics for Personalized Oncology.,NCI,9613231,5R01CA214428-02,5,R01,CA,214428,2,,,1894034,"KEMP, CHRISTOPHER J",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER,,2019,588045,
2034,A deep learning platform to evaluate the reliability of scientific claims by citation analysis.,NIDA,10136941,4R44DA050155-02,4,R44,DA,50155,2,,,15812915,"NICHOLSON, JOSH ",Not Applicable,"SCITE, INC.",,2020,746725,Modeling a neural circuit for flexible control of innate behaviors
2035,THE EXTENDED VISUAL SYSTEM OF THE MACAQUE MONKEY,NIMH,3968464,1Z01MH000887-09,1,Z01,MH,887,9,,,3205290,"KENNEDY, C ",Not Applicable,NATIONAL INSTITUTE OF MENTAL HEALTH,,1986,,
2036,THE EXTENDED VISUAL SYSTEM OF THE MACAQUE MONKEY,NIMH,A deep learning platform to evaluate the reliability of scientific claims by citation analysis.,1,Z01,MH,887,8,,,3205290,NIDA,,1985,9885663,1R44DA050155-01,1,R44,DA
2037,Blood Base Bioenergetic Profiling: A Novel Approach for Identifying Alzheimer's Disease Risk and Pathology,NIA,7371085,9988993,5K12MH069281-05,5R01AG054523-04,5,K12,MH,69281,5,,5,R01,AG,54523,4,,
2038,Neuroimaging Neuroinformatics Training Program,NIMH,7189144,5K12MH069281-04,5,K12,MH,69281,4,,,1890909,"KENNEDY, DAVID NELSON",Not Applicable,MASSACHUSETTS GENERAL HOSP,,2007,450967,
2039,760616,Neuroimaging Neuroinformatics Training Program,NIMH,7056141,5K12MH069281-03,5,K12,MH,69281,3,,,1890909,"KENNEDY, DAVID NELSON",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2006,439784
2040,Neuroimaging Neuroinformatics Training Program,NIMH,6870217,5K12MH069281-02,5,K12,MH,69281,2,,,1890909,"KENNEDY, DAVID NELSON",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2005,428924,
2041,Neuroimaging Neuroinformatics Training Program,NIMH,6700018,1K12MH069281-01,1,K12,MH,69281,1,,,1890909,"KENNEDY, DAVID NELSON",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2004,311472,
